,5.000000,57.000000
1265,30.32,53.0
1266,30.34,59.0
1267,30.36,53.0
1268,30.38,52.0
1269,30.4,50.0
1270,30.42,46.0
1271,30.44,31.0
1272,30.46,46.0
1273,30.48,37.0
1274,30.5,42.0
1275,30.52,44.0
1276,30.54,35.0
1277,30.56,57.0
1278,30.58,56.0
1279,30.6,41.0
1280,30.62,24.0
1281,30.64,43.0
1282,30.66,51.0
1283,30.68,54.0
1284,30.7,44.0
1285,30.72,32.0
1286,30.74,40.0
1287,30.76,45.0
1288,30.78,40.0
1289,30.8,49.0
1290,30.82,38.0
1291,30.84,49.0
1292,30.86,48.0
1293,30.88,54.0
1294,30.9,50.0
1295,30.92,35.0
1296,30.94,37.0
1297,30.96,42.0
1298,30.98,49.0
1299,31.0,37.0
1300,31.02,50.0
1301,31.04,38.0
1302,31.06,31.0
1303,31.08,38.0
1304,31.1,38.0
1305,31.12,46.0
1306,31.14,41.0
1307,31.16,45.0
1308,31.18,31.0
1309,31.2,39.0
1310,31.22,35.0
1311,31.24,24.0
1312,31.26,39.0
1313,31.28,44.0
1314,31.3,52.0
1315,31.32,43.0
1316,31.34,38.0
1317,31.36,33.0
1318,31.38,40.0
1319,31.4,41.0
1320,31.42,43.0
1321,31.44,38.0
1322,31.46,41.0
1323,31.48,34.0
1324,31.5,41.0
1325,31.52,42.0
1326,31.54,39.0
1327,31.56,33.0
1328,31.58,46.0
1329,31.6,42.0
1330,31.62,56.0
1331,31.64,44.0
1332,31.66,62.0
1333,31.68,50.0
1334,31.7,32.0
1335,31.72,73.0
1336,31.74,56.0
1337,31.76,52.0
1338,31.78,53.0
1339,31.8,57.0
1340,31.82,60.0
1341,31.84,63.0
1342,31.86,48.0
1343,31.88,52.0
1344,31.9,55.0
1345,31.92,43.0
1346,31.94,57.0
1347,31.96,39.0
1348,31.98,51.0
1349,32.0,48.0
1350,32.02,44.0
1351,32.04,41.0
1352,32.06,48.0
1353,32.08,41.0
1354,32.1,40.0
1355,32.12,45.0
1356,32.14,48.0
